DateTime,Away,Home,Arena
2017-11-29 19:30:00,Miami Heat,New York Knicks,Madison Square Garden
2017-11-29 20:00:00,Minnesota Timberwolves,New Orleans Pelicans,Smoothie King Center
2017-11-29 20:00:00,Indiana Pacers,Houston Rockets,Toyota Center
2017-11-29 20:30:00,Memphis Grizzlies,San Antonio Spurs,AT&T Center
2017-11-29 20:30:00,Brooklyn Nets,Dallas Mavericks,American Airlines Center
2017-11-29 22:30:00,Golden State Warriors,Los Angeles Lakers,Staples Center
2017-11-30 19:30:00,Cleveland Cavaliers,Atlanta Hawks,Philips Arena
2017-11-30 19:30:00,Philadelphia 76ers,Boston Celtics,TD Garden
2017-11-30 21:00:00,Chicago Bulls,Denver Nuggets,Pepsi Center
2017-11-30 22:00:00,Milwaukee Bucks,Portland Trail Blazers,Moda Center
2017-11-30 22:30:00,Utah Jazz,Los Angeles Clippers,Staples Center
2017-12-01 19:00:00,Golden State Warriors,Orlando Magic,Amway Center
2017-12-01 19:00:00,Detroit Pistons,Washington Wizards,Capital One Arena
2017-12-01 19:30:00,Indiana Pacers,Toronto Raptors,Air Canada Centre
2017-12-01 20:00:00,Sacramento Kings,Chicago Bulls,United Center
2017-12-01 20:00:00,San Antonio Spurs,Memphis Grizzlies,FedExForum
2017-12-01 20:00:00,Charlotte Hornets,Miami Heat,AmericanAirlines Arena
2017-12-01 20:00:00,Minnesota Timberwolves,Oklahoma City Thunder,Chesapeake Energy Arena
2017-12-01 21:00:00,New Orleans Pelicans,Utah Jazz,Vivint Smart Home Arena
2017-12-02 13:00:00,Phoenix Suns,Boston Celtics,TD Garden
2017-12-02 14:00:00,Los Angeles Clippers,Dallas Mavericks,American Airlines Center
2017-12-02 15:00:00,Atlanta Hawks,Brooklyn Nets,Barclays Center
2017-12-02 19:30:00,Memphis Grizzlies,Cleveland Cavaliers,Quicken Loans Arena
2017-12-02 19:30:00,Detroit Pistons,Philadelphia 76ers,Wells Fargo Center
2017-12-02 20:30:00,Sacramento Kings,Milwaukee Bucks,BMO Harris Bradley Center
2017-12-02 21:00:00,Los Angeles Lakers,Denver Nuggets,Pepsi Center
2017-12-02 22:00:00,New Orleans Pelicans,Portland Trail Blazers,Moda Center
2017-12-03 15:30:00,Orlando Magic,New York Knicks,Madison Square Garden
2017-12-03 19:00:00,Golden State Warriors,Miami Heat,AmericanAirlines Arena
2017-12-03 19:00:00,Los Angeles Clippers,Minnesota Timberwolves,Target Center
2017-12-03 19:00:00,San Antonio Spurs,Oklahoma City Thunder,Chesapeake Energy Arena
2017-12-03 21:30:00,Houston Rockets,Los Angeles Lakers,Staples Center
2017-12-04 19:00:00,New York Knicks,Indiana Pacers,Bankers Life Fieldhouse
2017-12-04 19:00:00,Orlando Magic,Charlotte Hornets,Spectrum Center
2017-12-04 19:00:00,Phoenix Suns,Philadelphia 76ers,Wells Fargo Center
2017-12-04 19:30:00,Milwaukee Bucks,Boston Celtics,TD Garden
2017-12-04 19:30:00,Brooklyn Nets,Atlanta Hawks,Philips Arena
2017-12-04 20:00:00,Minnesota Timberwolves,Memphis Grizzlies,FedExForum
2017-12-04 20:00:00,Golden State Warriors,New Orleans Pelicans,Smoothie King Center
2017-12-04 20:00:00,Cleveland Cavaliers,Chicago Bulls,United Center
2017-12-04 20:30:00,Denver Nuggets,Dallas Mavericks,American Airlines Center
2017-12-04 20:30:00,Detroit Pistons,San Antonio Spurs,AT&T Center
2017-12-04 21:00:00,Washington Wizards,Utah Jazz,Vivint Smart Home Arena
2017-12-05 19:30:00,Phoenix Suns,Toronto Raptors,Air Canada Centre
2017-12-05 20:00:00,Utah Jazz,Oklahoma City Thunder,Chesapeake Energy Arena
2017-12-05 22:00:00,Washington Wizards,Portland Trail Blazers,Moda Center
2017-12-06 19:00:00,Atlanta Hawks,Orlando Magic,Amway Center
2017-12-06 19:00:00,Sacramento Kings,Cleveland Cavaliers,Quicken Loans Arena
2017-12-06 19:00:00,Chicago Bulls,Indiana Pacers,Bankers Life Fieldhouse
2017-12-06 19:30:00,Dallas Mavericks,Boston Celtics,TD Garden
2017-12-06 19:30:00,Memphis Grizzlies,New York Knicks,Madison Square Garden
2017-12-06 20:00:00,Golden State Warriors,Charlotte Hornets,Spectrum Center
2017-12-06 20:00:00,Detroit Pistons,Milwaukee Bucks,BMO Harris Bradley Center
2017-12-06 20:00:00,Denver Nuggets,New Orleans Pelicans,Smoothie King Center
2017-12-06 20:30:00,Miami Heat,San Antonio Spurs,AT&T Center
2017-12-06 22:30:00,Minnesota Timberwolves,Los Angeles Clippers,Staples Center
2017-12-07 20:00:00,Los Angeles Lakers,Philadelphia 76ers,Wells Fargo Center
2017-12-07 21:00:00,Washington Wizards,Phoenix Suns,Talking Stick Resort Arena
2017-12-07 22:00:00,Oklahoma City Thunder,Brooklyn Nets,Mexico City Arena
2017-12-07 22:30:00,Houston Rockets,Utah Jazz,Vivint Smart Home Arena
2017-12-08 19:00:00,Chicago Bulls,Charlotte Hornets,Spectrum Center
2017-12-08 19:00:00,Golden State Warriors,Detroit Pistons,Little Caesars Arena
2017-12-08 19:00:00,Cleveland Cavaliers,Indiana Pacers,Bankers Life Fieldhouse
2017-12-08 19:00:00,Denver Nuggets,Orlando Magic,Amway Center
2017-12-08 20:00:00,Toronto Raptors,Memphis Grizzlies,FedExForum
2017-12-08 20:00:00,Dallas Mavericks,Milwaukee Bucks,BMO Harris Bradley Center
2017-12-08 20:00:00,Sacramento Kings,New Orleans Pelicans,Smoothie King Center
2017-12-08 21:30:00,Boston Celtics,San Antonio Spurs,AT&T Center
2017-12-09 15:30:00,Washington Wizards,Los Angeles Clippers,Staples Center
2017-12-09 18:00:00,Miami Heat,Brooklyn Nets,Mexico City Arena
2017-12-09 19:00:00,Los Angeles Lakers,Charlotte Hornets,Spectrum Center
2017-12-09 19:30:00,Orlando Magic,Atlanta Hawks,Philips Arena
2017-12-09 20:00:00,Philadelphia 76ers,Cleveland Cavaliers,Quicken Loans Arena
2017-12-09 20:00:00,New York Knicks,Chicago Bulls,United Center
2017-12-09 20:30:00,Utah Jazz,Milwaukee Bucks,BMO Harris Bradley Center
2017-12-09 21:00:00,San Antonio Spurs,Phoenix Suns,Talking Stick Resort Arena
2017-12-09 21:00:00,Oklahoma City Thunder,Memphis Grizzlies,FedExForum
2017-12-09 22:00:00,Houston Rockets,Portland Trail Blazers,Moda Center
2017-12-10 15:30:00,Toronto Raptors,Sacramento Kings,Golden 1 Center
2017-12-10 16:00:00,Boston Celtics,Detroit Pistons,Little Caesars Arena
2017-12-10 17:00:00,Denver Nuggets,Indiana Pacers,Bankers Life Fieldhouse
2017-12-10 19:00:00,Philadelphia 76ers,New Orleans Pelicans,Smoothie King Center
2017-12-10 19:00:00,Dallas Mavericks,Minnesota Timberwolves,Target Center
2017-12-10 19:30:00,Atlanta Hawks,New York Knicks,Madison Square Garden
2017-12-11 20:00:00,Boston Celtics,Chicago Bulls,United Center
2017-12-11 20:00:00,New Orleans Pelicans,Houston Rockets,Toyota Center
2017-12-11 20:00:00,Miami Heat,Memphis Grizzlies,FedExForum
2017-12-11 20:00:00,Charlotte Hornets,Oklahoma City Thunder,Chesapeake Energy Arena
2017-12-11 22:30:00,Portland Trail Blazers,Golden State Warriors,Oracle Arena
2017-12-11 22:30:00,Toronto Raptors,Los Angeles Clippers,Staples Center
2017-12-12 19:00:00,Los Angeles Lakers,New York Knicks,Madison Square Garden
2017-12-12 19:00:00,Atlanta Hawks,Cleveland Cavaliers,Quicken Loans Arena
2017-12-12 19:00:00,Denver Nuggets,Detroit Pistons,Little Caesars Arena
2017-12-12 19:30:00,Washington Wizards,Brooklyn Nets,Barclays Center
2017-12-12 20:30:00,San Antonio Spurs,Dallas Mavericks,American Airlines Center
2017-12-12 21:30:00,Philadelphia 76ers,Minnesota Timberwolves,Target Center
2017-12-12 22:00:00,Phoenix Suns,Sacramento Kings,Golden 1 Center
2017-12-13 19:00:00,Memphis Grizzlies,Washington Wizards,Capital One Arena
2017-12-13 19:00:00,Los Angeles Clippers,Orlando Magic,Amway Center
2017-12-13 19:00:00,Oklahoma City Thunder,Indiana Pacers,Bankers Life Fieldhouse
2017-12-13 19:30:00,Portland Trail Blazers,Miami Heat,AmericanAirlines Arena
2017-12-13 19:30:00,Denver Nuggets,Boston Celtics,TD Garden
2017-12-13 20:00:00,Milwaukee Bucks,New Orleans Pelicans,Smoothie King Center
2017-12-13 20:00:00,Utah Jazz,Chicago Bulls,United Center
2017-12-13 21:00:00,Toronto Raptors,Phoenix Suns,Talking Stick Resort Arena
2017-12-13 21:30:00,Charlotte Hornets,Houston Rockets,Toyota Center
2017-12-14 19:30:00,Detroit Pistons,Atlanta Hawks,Philips Arena
2017-12-14 19:30:00,New York Knicks,Brooklyn Nets,Barclays Center
2017-12-14 20:00:00,Los Angeles Lakers,Cleveland Cavaliers,Quicken Loans Arena
2017-12-14 20:00:00,Sacramento Kings,Minnesota Timberwolves,Target Center
2017-12-14 22:30:00,Dallas Mavericks,Golden State Warriors,Oracle Arena
2017-12-15 19:00:00,Los Angeles Clippers,Washington Wizards,Capital One Arena
2017-12-15 19:00:00,Oklahoma City Thunder,Philadelphia 76ers,Wells Fargo Center
2017-12-15 19:00:00,Detroit Pistons,Indiana Pacers,Bankers Life Fieldhouse
2017-12-15 19:00:00,Portland Trail Blazers,Orlando Magic,Amway Center
2017-12-15 19:00:00,Miami Heat,Charlotte Hornets,Spectrum Center
2017-12-15 19:30:00,Utah Jazz,Boston Celtics,TD Garden
2017-12-15 19:30:00,Brooklyn Nets,Toronto Raptors,Air Canada Centre
2017-12-15 20:00:00,Atlanta Hawks,Memphis Grizzlies,FedExForum
2017-12-15 20:00:00,Chicago Bulls,Milwaukee Bucks,BMO Harris Bradley Center
2017-12-15 21:00:00,New Orleans Pelicans,Denver Nuggets,Pepsi Center
2017-12-15 21:30:00,San Antonio Spurs,Houston Rockets,Toyota Center
2017-12-16 19:00:00,Portland Trail Blazers,Charlotte Hornets,Spectrum Center
2017-12-16 19:30:00,Utah Jazz,Cleveland Cavaliers,Quicken Loans Arena
2017-12-16 19:30:00,Oklahoma City Thunder,New York Knicks,Madison Square Garden
2017-12-16 20:00:00,Phoenix Suns,Minnesota Timberwolves,Target Center
2017-12-16 20:00:00,Los Angeles Clippers,Miami Heat,AmericanAirlines Arena
2017-12-16 20:00:00,Milwaukee Bucks,Houston Rockets,Toyota Center
2017-12-16 20:30:00,Dallas Mavericks,San Antonio Spurs,AT&T Center
2017-12-16 21:00:00,Boston Celtics,Memphis Grizzlies,FedExForum
2017-12-17 15:30:00,Sacramento Kings,Toronto Raptors,Air Canada Centre
2017-12-17 16:00:00,Orlando Magic,Detroit Pistons,Little Caesars Arena
2017-12-17 18:00:00,Indiana Pacers,Brooklyn Nets,Barclays Center
2017-12-17 18:00:00,Cleveland Cavaliers,Washington Wizards,Capital One Arena
2017-12-18 19:00:00,New York Knicks,Charlotte Hornets,Spectrum Center
2017-12-18 19:00:00,Boston Celtics,Indiana Pacers,Bankers Life Fieldhouse
2017-12-18 19:30:00,Miami Heat,Atlanta Hawks,Philips Arena
2017-12-18 20:00:00,Denver Nuggets,Oklahoma City Thunder,Chesapeake Energy Arena
2017-12-18 20:00:00,Portland Trail Blazers,Minnesota Timberwolves,Target Center
2017-12-18 20:00:00,Philadelphia 76ers,Chicago Bulls,United Center
2017-12-18 20:00:00,Utah Jazz,Houston Rockets,Toyota Center
2017-12-18 20:30:00,Phoenix Suns,Dallas Mavericks,American Airlines Center
2017-12-18 20:30:00,Los Angeles Clippers,San Antonio Spurs,AT&T Center
2017-12-18 22:30:00,Golden State Warriors,Los Angeles Lakers,Staples Center
2017-12-19 19:00:00,Sacramento Kings,Philadelphia 76ers,Wells Fargo Center
2017-12-19 19:00:00,New Orleans Pelicans,Washington Wizards,Capital One Arena
2017-12-19 20:00:00,Cleveland Cavaliers,Milwaukee Bucks,BMO Harris Bradley Center
2017-12-20 19:00:00,Toronto Raptors,Charlotte Hornets,Spectrum Center
2017-12-20 19:30:00,Sacramento Kings,Brooklyn Nets,Barclays Center
2017-12-20 19:30:00,Miami Heat,Boston Celtics,TD Garden
2017-12-20 19:30:00,Indiana Pacers,Atlanta Hawks,Philips Arena
2017-12-20 20:00:00,Orlando Magic,Chicago Bulls,United Center
2017-12-20 20:00:00,Los Angeles Lakers,Houston Rockets,Toyota Center
2017-12-20 20:00:00,Utah Jazz,Oklahoma City Thunder,Chesapeake Energy Arena
2017-12-20 20:30:00,Detroit Pistons,Dallas Mavericks,American Airlines Center
2017-12-20 21:00:00,Minnesota Timberwolves,Denver Nuggets,Pepsi Center
2017-12-20 22:00:00,San Antonio Spurs,Portland Trail Blazers,Moda Center
2017-12-20 22:30:00,Memphis Grizzlies,Golden State Warriors,Oracle Arena
2017-12-20 22:30:00,Phoenix Suns,Los Angeles Clippers,Staples Center
2017-12-21 19:00:00,Chicago Bulls,Cleveland Cavaliers,Quicken Loans Arena
2017-12-21 19:00:00,Toronto Raptors,Philadelphia 76ers,Wells Fargo Center
2017-12-21 20:00:00,Boston Celtics,New York Knicks,Madison Square Garden
2017-12-21 21:00:00,Memphis Grizzlies,Phoenix Suns,Talking Stick Resort Arena
2017-12-21 22:30:00,San Antonio Spurs,Utah Jazz,Vivint Smart Home Arena
2017-12-22 19:00:00,New York Knicks,Detroit Pistons,Little Caesars Arena
2017-12-22 19:00:00,New Orleans Pelicans,Orlando Magic,Amway Center
2017-12-22 19:30:00,Washington Wizards,Brooklyn Nets,Barclays Center
2017-12-22 20:00:00,Los Angeles Clippers,Houston Rockets,Toyota Center
2017-12-22 20:00:00,Dallas Mavericks,Miami Heat,AmericanAirlines Arena
2017-12-22 20:00:00,Charlotte Hornets,Milwaukee Bucks,BMO Harris Bradley Center
2017-12-22 20:00:00,Atlanta Hawks,Oklahoma City Thunder,Chesapeake Energy Arena
2017-12-22 22:00:00,Denver Nuggets,Portland Trail Blazers,Moda Center
2017-12-22 22:30:00,Los Angeles Lakers,Golden State Warriors,Oracle Arena
2017-12-23 17:00:00,Philadelphia 76ers,Toronto Raptors,Air Canada Centre
2017-12-23 19:00:00,Orlando Magic,Washington Wizards,Capital One Arena
2017-12-23 19:00:00,Brooklyn Nets,Indiana Pacers,Bankers Life Fieldhouse
2017-12-23 19:00:00,Milwaukee Bucks,Charlotte Hornets,Spectrum Center
2017-12-23 19:30:00,Chicago Bulls,Boston Celtics,TD Garden
2017-12-23 19:30:00,Dallas Mavericks,Atlanta Hawks,Philips Arena
2017-12-23 20:00:00,Los Angeles Clippers,Memphis Grizzlies,FedExForum
2017-12-23 20:00:00,New Orleans Pelicans,Miami Heat,AmericanAirlines Arena
2017-12-23 20:00:00,Oklahoma City Thunder,Utah Jazz,Vivint Smart Home Arena
2017-12-23 20:30:00,Denver Nuggets,Golden State Warriors,Oracle Arena
2017-12-23 21:00:00,Minnesota Timberwolves,Phoenix Suns,Talking Stick Resort Arena
2017-12-23 21:30:00,Portland Trail Blazers,Los Angeles Lakers,Staples Center
2017-12-23 22:00:00,San Antonio Spurs,Sacramento Kings,Golden 1 Center
2017-12-25 12:00:00,Philadelphia 76ers,New York Knicks,Madison Square Garden
2017-12-25 15:00:00,Cleveland Cavaliers,Golden State Warriors,Oracle Arena
2017-12-25 17:30:00,Washington Wizards,Boston Celtics,TD Garden
2017-12-25 20:00:00,Houston Rockets,Oklahoma City Thunder,Chesapeake Energy Arena
2017-12-25 22:30:00,Minnesota Timberwolves,Los Angeles Lakers,Staples Center
2017-12-26 19:00:00,Toronto Raptors,Dallas Mavericks,American Airlines Center
2017-12-26 19:00:00,Indiana Pacers,Detroit Pistons,Little Caesars Arena
2017-12-26 19:30:00,Orlando Magic,Miami Heat,AmericanAirlines Arena
2017-12-26 20:00:00,Chicago Bulls,Milwaukee Bucks,BMO Harris Bradley Center
2017-12-26 20:30:00,Brooklyn Nets,San Antonio Spurs,AT&T Center
2017-12-26 21:00:00,Utah Jazz,Denver Nuggets,Pepsi Center
2017-12-26 21:00:00,Memphis Grizzlies,Phoenix Suns,Talking Stick Resort Arena
2017-12-26 22:30:00,Sacramento Kings,Los Angeles Clippers,Staples Center
2017-12-27 19:00:00,Boston Celtics,Charlotte Hornets,Spectrum Center
2017-12-27 19:00:00,Dallas Mavericks,Indiana Pacers,Bankers Life Fieldhouse
2017-12-27 19:30:00,Washington Wizards,Atlanta Hawks,Philips Arena
2017-12-27 20:00:00,New York Knicks,Chicago Bulls,United Center
2017-12-27 20:00:00,Toronto Raptors,Oklahoma City Thunder,Chesapeake Energy Arena
2017-12-27 20:00:00,Brooklyn Nets,New Orleans Pelicans,Smoothie King Center
2017-12-27 20:00:00,Denver Nuggets,Minnesota Timberwolves,Target Center
2017-12-27 22:00:00,Cleveland Cavaliers,Sacramento Kings,Golden 1 Center
2017-12-27 22:30:00,Utah Jazz,Golden State Warriors,Oracle Arena
2017-12-27 22:30:00,Memphis Grizzlies,Los Angeles Lakers,Staples Center
2017-12-28 19:00:00,Detroit Pistons,Orlando Magic,Amway Center
2017-12-28 20:00:00,Houston Rockets,Boston Celtics,TD Garden
2017-12-28 20:00:00,Minnesota Timberwolves,Milwaukee Bucks,BMO Harris Bradley Center
2017-12-28 20:30:00,New York Knicks,San Antonio Spurs,AT&T Center
2017-12-28 22:30:00,Philadelphia 76ers,Portland Trail Blazers,Moda Center
2017-12-29 19:00:00,Houston Rockets,Washington Wizards,Capital One Arena
2017-12-29 19:30:00,Atlanta Hawks,Toronto Raptors,Air Canada Centre
2017-12-29 20:00:00,Milwaukee Bucks,Oklahoma City Thunder,Chesapeake Energy Arena
2017-12-29 20:00:00,Dallas Mavericks,New Orleans Pelicans,Smoothie King Center
2017-12-29 20:00:00,Indiana Pacers,Chicago Bulls,United Center
2017-12-29 20:00:00,Brooklyn Nets,Miami Heat,AmericanAirlines Arena
2017-12-29 22:00:00,Phoenix Suns,Sacramento Kings,Golden 1 Center
2017-12-29 22:30:00,Los Angeles Clippers,Los Angeles Lakers,Staples Center
2017-12-29 22:30:00,Charlotte Hornets,Golden State Warriors,Oracle Arena
2017-12-30 19:00:00,San Antonio Spurs,Detroit Pistons,Little Caesars Arena
2017-12-30 19:00:00,Miami Heat,Orlando Magic,Amway Center
2017-12-30 19:00:00,New York Knicks,New Orleans Pelicans,Smoothie King Center
2017-12-30 19:30:00,Portland Trail Blazers,Atlanta Hawks,Philips Arena
2017-12-30 20:00:00,Cleveland Cavaliers,Utah Jazz,Vivint Smart Home Arena
2017-12-30 20:30:00,Memphis Grizzlies,Golden State Warriors,Oracle Arena
2017-12-30 21:00:00,Philadelphia 76ers,Denver Nuggets,Pepsi Center
2017-12-31 15:30:00,Chicago Bulls,Washington Wizards,Capital One Arena
2017-12-31 17:00:00,Minnesota Timberwolves,Indiana Pacers,Bankers Life Fieldhouse
2017-12-31 17:30:00,Brooklyn Nets,Boston Celtics,TD Garden
2017-12-31 19:00:00,Charlotte Hornets,Los Angeles Clippers,Staples Center
2017-12-31 19:00:00,Dallas Mavericks,Oklahoma City Thunder,Chesapeake Energy Arena
2017-12-31 19:00:00,Memphis Grizzlies,Sacramento Kings,Golden 1 Center
2017-12-31 19:00:00,Los Angeles Lakers,Houston Rockets,Toyota Center
2017-12-31 20:00:00,Philadelphia 76ers,Phoenix Suns,Talking Stick Resort Arena
2018-01-01 19:30:00,Orlando Magic,Brooklyn Nets,Barclays Center
2018-01-01 19:30:00,Milwaukee Bucks,Toronto Raptors,Air Canada Centre
2018-01-01 20:00:00,Portland Trail Blazers,Chicago Bulls,United Center
2018-01-01 20:00:00,Los Angeles Lakers,Minnesota Timberwolves,Target Center
2018-01-02 19:00:00,Portland Trail Blazers,Cleveland Cavaliers,Quicken Loans Arena
2018-01-02 19:30:00,San Antonio Spurs,New York Knicks,Madison Square Garden
2018-01-02 21:00:00,Atlanta Hawks,Phoenix Suns,Talking Stick Resort Arena
2018-01-02 22:00:00,Charlotte Hornets,Sacramento Kings,Golden 1 Center
2018-01-02 22:30:00,Memphis Grizzlies,Los Angeles Clippers,Staples Center
2018-01-03 19:00:00,New York Knicks,Washington Wizards,Capital One Arena
2018-01-03 19:00:00,San Antonio Spurs,Philadelphia 76ers,Wells Fargo Center
2018-01-03 19:00:00,Houston Rockets,Orlando Magic,Amway Center
2018-01-03 19:30:00,Minnesota Timberwolves,Brooklyn Nets,Barclays Center
2018-01-03 19:30:00,Detroit Pistons,Miami Heat,AmericanAirlines Arena
2018-01-03 20:00:00,Cleveland Cavaliers,Boston Celtics,TD Garden
2018-01-03 20:00:00,Toronto Raptors,Chicago Bulls,United Center
2018-01-03 20:00:00,Indiana Pacers,Milwaukee Bucks,BMO Harris Bradley Center
2018-01-03 20:30:00,Golden State Warriors,Dallas Mavericks,American Airlines Center
2018-01-03 21:00:00,Phoenix Suns,Denver Nuggets,Pepsi Center
2018-01-03 21:00:00,New Orleans Pelicans,Utah Jazz,Vivint Smart Home Arena
2018-01-03 22:30:00,Oklahoma City Thunder,Los Angeles Lakers,Staples Center
2018-01-04 20:00:00,Golden State Warriors,Houston Rockets,Toyota Center
2018-01-04 22:30:00,Oklahoma City Thunder,Los Angeles Clippers,Staples Center
2018-01-05 19:00:00,Detroit Pistons,Philadelphia 76ers,Wells Fargo Center
2018-01-05 19:00:00,Minnesota Timberwolves,Boston Celtics,TD Garden
2018-01-05 20:00:00,New York Knicks,Miami Heat,AmericanAirlines Arena
2018-01-05 20:00:00,Toronto Raptors,Milwaukee Bucks,BMO Harris Bradley Center
2018-01-05 20:30:00,Chicago Bulls,Dallas Mavericks,American Airlines Center
2018-01-05 20:30:00,Phoenix Suns,San Antonio Spurs,AT&T Center
2018-01-05 21:00:00,Utah Jazz,Denver Nuggets,Pepsi Center
2018-01-05 21:30:00,Washington Wizards,Memphis Grizzlies,FedExForum
2018-01-05 22:00:00,Atlanta Hawks,Portland Trail Blazers,Moda Center
2018-01-05 22:30:00,Charlotte Hornets,Los Angeles Lakers,Staples Center
2018-01-06 15:30:00,Golden State Warriors,Los Angeles Clippers,Staples Center
2018-01-06 18:00:00,Boston Celtics,Brooklyn Nets,Barclays Center
2018-01-06 19:00:00,Houston Rockets,Detroit Pistons,Little Caesars Arena
2018-01-06 19:00:00,Chicago Bulls,Indiana Pacers,Bankers Life Fieldhouse
2018-01-06 19:00:00,Cleveland Cavaliers,Orlando Magic,Amway Center
2018-01-06 20:00:00,Milwaukee Bucks,Washington Wizards,Capital One Arena
2018-01-06 21:00:00,New Orleans Pelicans,Minnesota Timberwolves,Target Center
2018-01-06 22:00:00,Denver Nuggets,Sacramento Kings,Golden 1 Center
2018-01-07 15:30:00,Utah Jazz,Miami Heat,AmericanAirlines Arena
2018-01-07 19:00:00,New York Knicks,Dallas Mavericks,American Airlines Center
2018-01-07 20:00:00,Oklahoma City Thunder,Phoenix Suns,Talking Stick Resort Arena
2018-01-07 21:00:00,San Antonio Spurs,Portland Trail Blazers,Moda Center
2018-01-07 21:30:00,Atlanta Hawks,Los Angeles Lakers,Staples Center
2018-01-08 19:00:00,Milwaukee Bucks,Indiana Pacers,Bankers Life Fieldhouse
2018-01-08 19:30:00,Toronto Raptors,Brooklyn Nets,Barclays Center
2018-01-08 20:00:00,Houston Rockets,Chicago Bulls,United Center
2018-01-08 20:00:00,Cleveland Cavaliers,Minnesota Timberwolves,Target Center
2018-01-08 20:00:00,Detroit Pistons,New Orleans Pelicans,Smoothie King Center
2018-01-08 22:00:00,San Antonio Spurs,Sacramento Kings,Golden 1 Center
2018-01-08 22:30:00,Denver Nuggets,Golden State Warriors,Oracle Arena
2018-01-08 22:30:00,Atlanta Hawks,Los Angeles Clippers,Staples Center
2018-01-09 19:30:00,Miami Heat,Toronto Raptors,Air Canada Centre
2018-01-09 20:00:00,Portland Trail Blazers,Oklahoma City Thunder,Chesapeake Energy Arena
2018-01-09 20:30:00,Orlando Magic,Dallas Mavericks,American Airlines Center
2018-01-09 22:30:00,Sacramento Kings,Los Angeles Lakers,Staples Center
2018-01-10 19:00:00,Miami Heat,Indiana Pacers,Bankers Life Fieldhouse
2018-01-10 19:00:00,Utah Jazz,Washington Wizards,Capital One Arena
2018-01-10 19:00:00,Dallas Mavericks,Charlotte Hornets,Spectrum Center
2018-01-10 19:30:00,Detroit Pistons,Brooklyn Nets,Barclays Center
2018-01-10 19:30:00,Chicago Bulls,New York Knicks,Madison Square Garden
2018-01-10 20:00:00,Portland Trail Blazers,Houston Rockets,Toyota Center
2018-01-10 20:00:00,New Orleans Pelicans,Memphis Grizzlies,FedExForum
2018-01-10 20:00:00,Orlando Magic,Milwaukee Bucks,BMO Harris Bradley Center
2018-01-10 20:00:00,Oklahoma City Thunder,Minnesota Timberwolves,Target Center
2018-01-10 21:00:00,Atlanta Hawks,Denver Nuggets,Pepsi Center
2018-01-10 22:30:00,Los Angeles Clippers,Golden State Warriors,Oracle Arena
2018-01-11 15:00:00,Boston Celtics,Philadelphia 76ers,The O2 Arena
