DateTime,Away,Home,Arena
2018-03-01 22:00:00,Brooklyn Nets,Sacramento Kings,Golden 1 Center
2018-03-01 22:30:00,Minnesota Timberwolves,Portland Trail Blazers,Moda Center
2018-03-02 19:00:00,Detroit Pistons,Orlando Magic,Amway Center
2018-03-02 19:00:00,Charlotte Hornets,Philadelphia 76ers,Wells Fargo Center
2018-03-02 19:30:00,Golden State Warriors,Atlanta Hawks,Philips Arena
2018-03-02 20:00:00,Dallas Mavericks,Chicago Bulls,United Center
2018-03-02 20:00:00,Toronto Raptors,Washington Wizards,Capital One Arena
2018-03-02 20:00:00,Denver Nuggets,Memphis Grizzlies,FedExForum
2018-03-02 20:00:00,Indiana Pacers,Milwaukee Bucks,BMO Harris Bradley Center
2018-03-02 21:00:00,Oklahoma City Thunder,Phoenix Suns,Talking Stick Resort Arena
2018-03-02 22:30:00,Minnesota Timberwolves,Utah Jazz,Vivint Smart Home Arena
2018-03-02 22:30:00,New York Knicks,Los Angeles Clippers,Staples Center
2018-03-03 19:00:00,Memphis Grizzlies,Orlando Magic,Amway Center
2018-03-03 19:30:00,Denver Nuggets,Cleveland Cavaliers,Quicken Loans Arena
2018-03-03 19:30:00,Detroit Pistons,Miami Heat,AmericanAirlines Arena
2018-03-03 20:30:00,Boston Celtics,Houston Rockets,Toyota Center
2018-03-03 21:00:00,Los Angeles Lakers,San Antonio Spurs,AT&T Center
2018-03-03 22:00:00,Oklahoma City Thunder,Portland Trail Blazers,Moda Center
2018-03-03 22:00:00,Utah Jazz,Sacramento Kings,Golden 1 Center
2018-03-04 15:30:00,Phoenix Suns,Atlanta Hawks,Philips Arena
2018-03-04 18:00:00,Charlotte Hornets,Toronto Raptors,Air Canada Centre
2018-03-04 18:00:00,Indiana Pacers,Washington Wizards,Capital One Arena
2018-03-04 19:00:00,New Orleans Pelicans,Dallas Mavericks,American Airlines Center
2018-03-04 20:00:00,Philadelphia 76ers,Milwaukee Bucks,BMO Harris Bradley Center
2018-03-04 21:00:00,Brooklyn Nets,Los Angeles Clippers,Staples Center
2018-03-04 21:00:00,New York Knicks,Sacramento Kings,Golden 1 Center
2018-03-05 19:00:00,Detroit Pistons,Cleveland Cavaliers,Quicken Loans Arena
2018-03-05 19:00:00,Milwaukee Bucks,Indiana Pacers,Bankers Life Fieldhouse
2018-03-05 19:30:00,Phoenix Suns,Miami Heat,AmericanAirlines Arena
2018-03-05 20:00:00,Boston Celtics,Chicago Bulls,United Center
2018-03-05 20:30:00,Memphis Grizzlies,San Antonio Spurs,AT&T Center
2018-03-05 21:00:00,Orlando Magic,Utah Jazz,Vivint Smart Home Arena
2018-03-05 22:30:00,Portland Trail Blazers,Los Angeles Lakers,Staples Center
2018-03-06 19:00:00,Philadelphia 76ers,Charlotte Hornets,Spectrum Center
2018-03-06 19:00:00,Miami Heat,Washington Wizards,Capital One Arena
2018-03-06 19:00:00,Atlanta Hawks,Toronto Raptors,Air Canada Centre
2018-03-06 20:00:00,Houston Rockets,Oklahoma City Thunder,Chesapeake Energy Arena
2018-03-06 20:30:00,Denver Nuggets,Dallas Mavericks,American Airlines Center
2018-03-06 22:00:00,New York Knicks,Portland Trail Blazers,Moda Center
2018-03-06 22:30:00,Brooklyn Nets,Golden State Warriors,Oracle Arena
2018-03-06 22:30:00,New Orleans Pelicans,Los Angeles Clippers,Staples Center
2018-03-07 19:00:00,Utah Jazz,Indiana Pacers,Bankers Life Fieldhouse
2018-03-07 20:00:00,Memphis Grizzlies,Chicago Bulls,United Center
2018-03-07 20:00:00,Toronto Raptors,Detroit Pistons,Little Caesars Arena
2018-03-07 20:00:00,Houston Rockets,Milwaukee Bucks,BMO Harris Bradley Center
2018-03-07 22:00:00,New Orleans Pelicans,Sacramento Kings,Golden 1 Center
2018-03-07 22:30:00,Cleveland Cavaliers,Denver Nuggets,Pepsi Center
2018-03-07 22:30:00,Orlando Magic,Los Angeles Lakers,Staples Center
2018-03-08 19:00:00,Brooklyn Nets,Charlotte Hornets,Spectrum Center
2018-03-08 19:30:00,Philadelphia 76ers,Miami Heat,AmericanAirlines Arena
2018-03-08 20:00:00,Boston Celtics,Minnesota Timberwolves,Target Center
2018-03-08 20:00:00,Phoenix Suns,Oklahoma City Thunder,Chesapeake Energy Arena
2018-03-08 22:30:00,San Antonio Spurs,Golden State Warriors,Oracle Arena
2018-03-09 19:00:00,Chicago Bulls,Detroit Pistons,Little Caesars Arena
2018-03-09 19:00:00,Atlanta Hawks,Indiana Pacers,Bankers Life Fieldhouse
2018-03-09 19:30:00,Houston Rockets,Toronto Raptors,Air Canada Centre
2018-03-09 20:00:00,Utah Jazz,Memphis Grizzlies,FedExForum
2018-03-09 20:00:00,Washington Wizards,New Orleans Pelicans,Smoothie King Center
2018-03-09 20:00:00,New York Knicks,Milwaukee Bucks,BMO Harris Bradley Center
2018-03-09 21:00:00,Los Angeles Lakers,Denver Nuggets,Pepsi Center
2018-03-09 22:00:00,Golden State Warriors,Portland Trail Blazers,Moda Center
2018-03-09 22:00:00,Orlando Magic,Sacramento Kings,Golden 1 Center
2018-03-09 22:30:00,Cleveland Cavaliers,Los Angeles Clippers,Staples Center
2018-03-10 17:00:00,Phoenix Suns,Charlotte Hornets,Spectrum Center
2018-03-10 19:30:00,Washington Wizards,Miami Heat,AmericanAirlines Arena
2018-03-10 20:30:00,Memphis Grizzlies,Dallas Mavericks,American Airlines Center
2018-03-10 20:30:00,San Antonio Spurs,Oklahoma City Thunder,Chesapeake Energy Arena
2018-03-10 22:30:00,Orlando Magic,Los Angeles Clippers,Staples Center
2018-03-11 13:00:00,Toronto Raptors,New York Knicks,Madison Square Garden
2018-03-11 15:30:00,Chicago Bulls,Atlanta Hawks,Philips Arena
2018-03-11 15:30:00,Golden State Warriors,Minnesota Timberwolves,Target Center
2018-03-11 16:00:00,Utah Jazz,New Orleans Pelicans,Smoothie King Center
2018-03-11 17:00:00,Sacramento Kings,Denver Nuggets,Pepsi Center
2018-03-11 19:00:00,Houston Rockets,Dallas Mavericks,American Airlines Center
2018-03-11 19:30:00,Philadelphia 76ers,Brooklyn Nets,Barclays Center
2018-03-11 19:30:00,Indiana Pacers,Boston Celtics,TD Garden
2018-03-11 21:00:00,Cleveland Cavaliers,Los Angeles Lakers,Staples Center
2018-03-12 20:00:00,San Antonio Spurs,Houston Rockets,Toyota Center
2018-03-12 20:00:00,Milwaukee Bucks,Memphis Grizzlies,FedExForum
2018-03-12 20:00:00,Sacramento Kings,Oklahoma City Thunder,Chesapeake Energy Arena
2018-03-12 22:30:00,Miami Heat,Portland Trail Blazers,Moda Center
2018-03-13 19:00:00,Minnesota Timberwolves,Washington Wizards,Capital One Arena
2018-03-13 19:00:00,Indiana Pacers,Philadelphia 76ers,Wells Fargo Center
2018-03-13 19:30:00,Oklahoma City Thunder,Atlanta Hawks,Philips Arena
2018-03-13 19:30:00,Toronto Raptors,Brooklyn Nets,Barclays Center
2018-03-13 19:30:00,Dallas Mavericks,New York Knicks,Madison Square Garden
2018-03-13 20:00:00,Los Angeles Clippers,Chicago Bulls,United Center
2018-03-13 20:00:00,Charlotte Hornets,New Orleans Pelicans,Smoothie King Center
2018-03-13 20:30:00,Orlando Magic,San Antonio Spurs,AT&T Center
2018-03-13 21:00:00,Detroit Pistons,Utah Jazz,Vivint Smart Home Arena
2018-03-13 22:00:00,Cleveland Cavaliers,Phoenix Suns,Talking Stick Resort Arena
2018-03-13 22:30:00,Denver Nuggets,Los Angeles Lakers,Staples Center
2018-03-14 19:00:00,Milwaukee Bucks,Orlando Magic,Amway Center
2018-03-14 20:00:00,Washington Wizards,Boston Celtics,TD Garden
2018-03-14 22:00:00,Miami Heat,Sacramento Kings,Golden 1 Center
2018-03-14 22:30:00,Los Angeles Lakers,Golden State Warriors,Oracle Arena
2018-03-15 19:00:00,Toronto Raptors,Indiana Pacers,Bankers Life Fieldhouse
2018-03-15 19:30:00,Charlotte Hornets,Atlanta Hawks,Philips Arena
2018-03-15 19:30:00,Philadelphia 76ers,New York Knicks,Madison Square Garden
2018-03-15 20:00:00,Los Angeles Clippers,Houston Rockets,Toyota Center
2018-03-15 20:00:00,Chicago Bulls,Memphis Grizzlies,FedExForum
2018-03-15 20:30:00,New Orleans Pelicans,San Antonio Spurs,AT&T Center
2018-03-15 21:00:00,Detroit Pistons,Denver Nuggets,Pepsi Center
2018-03-15 21:00:00,Phoenix Suns,Utah Jazz,Vivint Smart Home Arena
2018-03-15 22:00:00,Cleveland Cavaliers,Portland Trail Blazers,Moda Center
2018-03-16 19:00:00,Brooklyn Nets,Philadelphia 76ers,Wells Fargo Center
2018-03-16 19:00:00,Boston Celtics,Orlando Magic,Amway Center
2018-03-16 19:30:00,Dallas Mavericks,Toronto Raptors,Air Canada Centre
2018-03-16 20:00:00,Los Angeles Clippers,Oklahoma City Thunder,Chesapeake Energy Arena
2018-03-16 22:30:00,Sacramento Kings,Golden State Warriors,Oracle Arena
2018-03-16 22:30:00,Miami Heat,Los Angeles Lakers,Staples Center
2018-03-17 18:00:00,Atlanta Hawks,Milwaukee Bucks,BMO Harris Bradley Center
2018-03-17 19:00:00,Houston Rockets,New Orleans Pelicans,Smoothie King Center
2018-03-17 19:00:00,Indiana Pacers,Washington Wizards,Capital One Arena
2018-03-17 19:30:00,Charlotte Hornets,New York Knicks,Madison Square Garden
2018-03-17 19:30:00,Dallas Mavericks,Brooklyn Nets,Barclays Center
2018-03-17 20:00:00,Cleveland Cavaliers,Chicago Bulls,United Center
2018-03-17 20:00:00,Denver Nuggets,Memphis Grizzlies,FedExForum
2018-03-17 20:30:00,Minnesota Timberwolves,San Antonio Spurs,AT&T Center
2018-03-17 21:00:00,Sacramento Kings,Utah Jazz,Vivint Smart Home Arena
2018-03-17 22:00:00,Golden State Warriors,Phoenix Suns,Talking Stick Resort Arena
2018-03-17 22:00:00,Detroit Pistons,Portland Trail Blazers,Moda Center
2018-03-18 13:00:00,Oklahoma City Thunder,Toronto Raptors,Air Canada Centre
2018-03-18 18:00:00,Boston Celtics,New Orleans Pelicans,Smoothie King Center
2018-03-18 19:00:00,Houston Rockets,Minnesota Timberwolves,Target Center
2018-03-18 22:30:00,Portland Trail Blazers,Los Angeles Clippers,Staples Center
2018-03-19 19:00:00,Milwaukee Bucks,Cleveland Cavaliers,Quicken Loans Arena
2018-03-19 19:00:00,Los Angeles Lakers,Indiana Pacers,Bankers Life Fieldhouse
2018-03-19 19:00:00,Charlotte Hornets,Philadelphia 76ers,Wells Fargo Center
2018-03-19 19:30:00,Memphis Grizzlies,Brooklyn Nets,Barclays Center
2018-03-19 19:30:00,Denver Nuggets,Miami Heat,AmericanAirlines Arena
2018-03-19 19:30:00,Chicago Bulls,New York Knicks,Madison Square Garden
2018-03-19 21:30:00,Golden State Warriors,San Antonio Spurs,AT&T Center
2018-03-19 22:00:00,Detroit Pistons,Sacramento Kings,Golden 1 Center
2018-03-20 19:00:00,Toronto Raptors,Orlando Magic,Amway Center
2018-03-20 20:00:00,Oklahoma City Thunder,Boston Celtics,TD Garden
2018-03-20 20:00:00,Los Angeles Clippers,Minnesota Timberwolves,Target Center
2018-03-20 20:00:00,Dallas Mavericks,New Orleans Pelicans,Smoothie King Center
2018-03-20 21:00:00,Atlanta Hawks,Utah Jazz,Vivint Smart Home Arena
2018-03-20 22:00:00,Detroit Pistons,Phoenix Suns,Talking Stick Resort Arena
2018-03-20 22:30:00,Houston Rockets,Portland Trail Blazers,Moda Center
2018-03-21 19:00:00,Toronto Raptors,Cleveland Cavaliers,Quicken Loans Arena
2018-03-21 19:00:00,Memphis Grizzlies,Philadelphia 76ers,Wells Fargo Center
2018-03-21 19:30:00,Charlotte Hornets,Brooklyn Nets,Barclays Center
2018-03-21 19:30:00,New York Knicks,Miami Heat,AmericanAirlines Arena
2018-03-21 20:00:00,Denver Nuggets,Chicago Bulls,United Center
2018-03-21 20:00:00,Los Angeles Clippers,Milwaukee Bucks,BMO Harris Bradley Center
2018-03-21 20:00:00,Indiana Pacers,New Orleans Pelicans,Smoothie King Center
2018-03-21 21:30:00,Washington Wizards,San Antonio Spurs,AT&T Center
2018-03-22 19:00:00,Memphis Grizzlies,Charlotte Hornets,Spectrum Center
2018-03-22 19:00:00,Philadelphia 76ers,Orlando Magic,Amway Center
2018-03-22 20:00:00,Los Angeles Lakers,New Orleans Pelicans,Smoothie King Center
2018-03-22 20:00:00,Detroit Pistons,Houston Rockets,Toyota Center
2018-03-22 20:30:00,Utah Jazz,Dallas Mavericks,American Airlines Center
2018-03-22 22:00:00,Atlanta Hawks,Sacramento Kings,Golden 1 Center
2018-03-23 19:00:00,Los Angeles Clippers,Indiana Pacers,Bankers Life Fieldhouse
2018-03-23 19:00:00,Denver Nuggets,Washington Wizards,Capital One Arena
2018-03-23 19:30:00,Phoenix Suns,Cleveland Cavaliers,Quicken Loans Arena
2018-03-23 19:30:00,Minnesota Timberwolves,New York Knicks,Madison Square Garden
2018-03-23 19:30:00,Brooklyn Nets,Toronto Raptors,Air Canada Centre
2018-03-23 20:00:00,Milwaukee Bucks,Chicago Bulls,United Center
2018-03-23 20:00:00,Miami Heat,Oklahoma City Thunder,Chesapeake Energy Arena
2018-03-23 20:30:00,Utah Jazz,San Antonio Spurs,AT&T Center
2018-03-23 22:00:00,Boston Celtics,Portland Trail Blazers,Moda Center
2018-03-23 22:30:00,Atlanta Hawks,Golden State Warriors,Oracle Arena
2018-03-24 18:00:00,Minnesota Timberwolves,Philadelphia 76ers,Wells Fargo Center
2018-03-24 19:00:00,Chicago Bulls,Detroit Pistons,Little Caesars Arena
2018-03-24 19:00:00,Phoenix Suns,Orlando Magic,Amway Center
2018-03-24 20:00:00,Los Angeles Lakers,Memphis Grizzlies,FedExForum
2018-03-24 20:00:00,New Orleans Pelicans,Houston Rockets,Toyota Center
2018-03-24 20:30:00,Charlotte Hornets,Dallas Mavericks,American Airlines Center
2018-03-25 13:00:00,Cleveland Cavaliers,Brooklyn Nets,Barclays Center
2018-03-25 15:30:00,San Antonio Spurs,Milwaukee Bucks,BMO Harris Bradley Center
2018-03-25 17:00:00,Miami Heat,Indiana Pacers,Bankers Life Fieldhouse
2018-03-25 18:00:00,New York Knicks,Washington Wizards,Capital One Arena
2018-03-25 18:00:00,Los Angeles Clippers,Toronto Raptors,Air Canada Centre
2018-03-25 18:00:00,Boston Celtics,Sacramento Kings,Golden 1 Center
2018-03-25 19:00:00,Portland Trail Blazers,Oklahoma City Thunder,Chesapeake Energy Arena
2018-03-25 20:00:00,Atlanta Hawks,Houston Rockets,Toyota Center
2018-03-25 20:30:00,Utah Jazz,Golden State Warriors,Oracle Arena
2018-03-26 19:00:00,New York Knicks,Charlotte Hornets,Spectrum Center
2018-03-26 19:00:00,Los Angeles Lakers,Detroit Pistons,Little Caesars Arena
2018-03-26 19:00:00,Denver Nuggets,Philadelphia 76ers,Wells Fargo Center
2018-03-26 20:00:00,Memphis Grizzlies,Minnesota Timberwolves,Target Center
2018-03-26 22:00:00,Boston Celtics,Phoenix Suns,Talking Stick Resort Arena
2018-03-27 19:00:00,San Antonio Spurs,Washington Wizards,Capital One Arena
2018-03-27 19:30:00,Denver Nuggets,Toronto Raptors,Air Canada Centre
2018-03-27 20:00:00,Cleveland Cavaliers,Miami Heat,AmericanAirlines Arena
2018-03-27 20:00:00,Portland Trail Blazers,New Orleans Pelicans,Smoothie King Center
2018-03-27 20:00:00,Chicago Bulls,Houston Rockets,Toyota Center
2018-03-27 22:00:00,Dallas Mavericks,Sacramento Kings,Golden 1 Center
2018-03-27 22:30:00,Indiana Pacers,Golden State Warriors,Oracle Arena
2018-03-27 22:30:00,Milwaukee Bucks,Los Angeles Clippers,Staples Center
2018-03-28 19:00:00,Cleveland Cavaliers,Charlotte Hornets,Spectrum Center
2018-03-28 19:00:00,Brooklyn Nets,Orlando Magic,Amway Center
2018-03-28 19:00:00,New York Knicks,Philadelphia 76ers,Wells Fargo Center
2018-03-28 20:00:00,Portland Trail Blazers,Memphis Grizzlies,FedExForum
2018-03-28 20:00:00,Atlanta Hawks,Minnesota Timberwolves,Target Center
2018-03-28 21:30:00,Boston Celtics,Utah Jazz,Vivint Smart Home Arena
2018-03-28 22:00:00,Los Angeles Clippers,Phoenix Suns,Talking Stick Resort Arena
2018-03-28 22:30:00,Dallas Mavericks,Los Angeles Lakers,Staples Center
2018-03-29 19:00:00,Washington Wizards,Detroit Pistons,Little Caesars Arena
2018-03-29 19:30:00,Chicago Bulls,Miami Heat,AmericanAirlines Arena
2018-03-29 20:00:00,Oklahoma City Thunder,San Antonio Spurs,AT&T Center
2018-03-29 22:00:00,Indiana Pacers,Sacramento Kings,Golden 1 Center
2018-03-29 22:30:00,Milwaukee Bucks,Golden State Warriors,Oracle Arena
2018-03-30 19:00:00,Chicago Bulls,Orlando Magic,Amway Center
2018-03-30 19:30:00,Philadelphia 76ers,Atlanta Hawks,Philips Arena
2018-03-30 20:00:00,Denver Nuggets,Oklahoma City Thunder,Chesapeake Energy Arena
2018-03-30 20:00:00,New Orleans Pelicans,Cleveland Cavaliers,Quicken Loans Arena
2018-03-30 20:00:00,Phoenix Suns,Houston Rockets,Toyota Center
2018-03-30 20:30:00,Minnesota Timberwolves,Dallas Mavericks,American Airlines Center
2018-03-30 21:00:00,Memphis Grizzlies,Utah Jazz,Vivint Smart Home Arena
2018-03-30 22:30:00,Milwaukee Bucks,Los Angeles Lakers,Staples Center
2018-03-30 22:30:00,Los Angeles Clippers,Portland Trail Blazers,Moda Center
2018-03-31 15:00:00,Charlotte Hornets,Washington Wizards,Capital One Arena
2018-03-31 17:00:00,Detroit Pistons,New York Knicks,Madison Square Garden
2018-03-31 19:30:00,Toronto Raptors,Boston Celtics,TD Garden
2018-03-31 20:00:00,Brooklyn Nets,Miami Heat,AmericanAirlines Arena
2018-03-31 22:00:00,Golden State Warriors,Sacramento Kings,Golden 1 Center
2018-04-01 13:00:00,Philadelphia 76ers,Charlotte Hornets,Spectrum Center
2018-04-01 15:30:00,Indiana Pacers,Los Angeles Clippers,Staples Center
2018-04-01 15:30:00,Washington Wizards,Chicago Bulls,United Center
2018-04-01 15:30:00,Houston Rockets,San Antonio Spurs,AT&T Center
2018-04-01 18:00:00,Orlando Magic,Atlanta Hawks,Philips Arena
2018-04-01 18:00:00,Detroit Pistons,Brooklyn Nets,Barclays Center
2018-04-01 18:00:00,Dallas Mavericks,Cleveland Cavaliers,Quicken Loans Arena
2018-04-01 18:00:00,Oklahoma City Thunder,New Orleans Pelicans,Smoothie King Center
2018-04-01 19:00:00,Utah Jazz,Minnesota Timberwolves,Target Center
2018-04-01 20:00:00,Milwaukee Bucks,Denver Nuggets,Pepsi Center
2018-04-01 20:30:00,Phoenix Suns,Golden State Warriors,Oracle Arena
2018-04-01 21:00:00,Memphis Grizzlies,Portland Trail Blazers,Moda Center
2018-04-01 21:30:00,Sacramento Kings,Los Angeles Lakers,Staples Center
2018-04-03 19:00:00,Toronto Raptors,Cleveland Cavaliers,Quicken Loans Arena
2018-04-03 19:00:00,Brooklyn Nets,Philadelphia 76ers,Wells Fargo Center
2018-04-03 19:30:00,Orlando Magic,New York Knicks,Madison Square Garden
2018-04-03 19:30:00,Atlanta Hawks,Miami Heat,AmericanAirlines Arena
2018-04-03 20:00:00,Golden State Warriors,Oklahoma City Thunder,Chesapeake Energy Arena
2018-04-03 20:00:00,Boston Celtics,Milwaukee Bucks,BMO Harris Bradley Center
2018-04-03 20:00:00,Charlotte Hornets,Chicago Bulls,United Center
2018-04-03 20:00:00,Washington Wizards,Houston Rockets,Toyota Center
2018-04-03 20:30:00,Portland Trail Blazers,Dallas Mavericks,American Airlines Center
2018-04-03 21:00:00,Indiana Pacers,Denver Nuggets,Pepsi Center
2018-04-03 21:00:00,Los Angeles Lakers,Utah Jazz,Vivint Smart Home Arena
2018-04-03 22:00:00,Sacramento Kings,Phoenix Suns,Talking Stick Resort Arena
2018-04-03 22:30:00,San Antonio Spurs,Los Angeles Clippers,Staples Center
2018-04-04 19:00:00,Boston Celtics,Toronto Raptors,Air Canada Centre
2018-04-04 19:00:00,Philadelphia 76ers,Detroit Pistons,Little Caesars Arena
2018-04-04 19:00:00,Dallas Mavericks,Orlando Magic,Amway Center
2018-04-04 19:30:00,Miami Heat,Atlanta Hawks,Philips Arena
2018-04-04 21:30:00,Memphis Grizzlies,New Orleans Pelicans,Smoothie King Center
2018-04-04 22:30:00,San Antonio Spurs,Los Angeles Lakers,Staples Center
2018-04-05 19:00:00,Golden State Warriors,Indiana Pacers,Bankers Life Fieldhouse
2018-04-05 20:00:00,Washington Wizards,Cleveland Cavaliers,Quicken Loans Arena
2018-04-05 20:00:00,Portland Trail Blazers,Houston Rockets,Toyota Center
2018-04-05 20:00:00,Brooklyn Nets,Milwaukee Bucks,BMO Harris Bradley Center
2018-04-05 21:00:00,Los Angeles Clippers,Utah Jazz,Vivint Smart Home Arena
2018-04-05 22:30:00,Minnesota Timberwolves,Denver Nuggets,Pepsi Center
2018-04-06 19:00:00,Dallas Mavericks,Detroit Pistons,Little Caesars Arena
2018-04-06 19:00:00,Atlanta Hawks,Washington Wizards,Capital One Arena
2018-04-06 19:00:00,Charlotte Hornets,Orlando Magic,Amway Center
2018-04-06 19:00:00,Cleveland Cavaliers,Philadelphia 76ers,Wells Fargo Center
2018-04-06 19:30:00,Chicago Bulls,Boston Celtics,TD Garden
2018-04-06 19:30:00,Miami Heat,New York Knicks,Madison Square Garden
2018-04-06 19:30:00,Indiana Pacers,Toronto Raptors,Air Canada Centre
2018-04-06 20:00:00,Sacramento Kings,Memphis Grizzlies,FedExForum
2018-04-06 22:00:00,New Orleans Pelicans,Phoenix Suns,Talking Stick Resort Arena
2018-04-06 22:30:00,Minnesota Timberwolves,Los Angeles Lakers,Staples Center
2018-04-07 15:30:00,Denver Nuggets,Los Angeles Clippers,Staples Center
2018-04-07 19:30:00,Milwaukee Bucks,New York Knicks,Madison Square Garden
2018-04-07 20:00:00,Brooklyn Nets,Chicago Bulls,United Center
2018-04-07 20:30:00,New Orleans Pelicans,Golden State Warriors,Oracle Arena
2018-04-07 20:30:00,Oklahoma City Thunder,Houston Rockets,Toyota Center
2018-04-07 21:00:00,Portland Trail Blazers,San Antonio Spurs,AT&T Center
2018-04-08 13:00:00,Dallas Mavericks,Philadelphia 76ers,Wells Fargo Center
2018-04-08 13:00:00,Indiana Pacers,Charlotte Hornets,Spectrum Center
2018-04-08 15:30:00,Detroit Pistons,Memphis Grizzlies,FedExForum
2018-04-08 18:00:00,Orlando Magic,Toronto Raptors,Air Canada Centre
2018-04-08 18:00:00,Utah Jazz,Los Angeles Lakers,Staples Center
2018-04-08 19:30:00,Atlanta Hawks,Boston Celtics,TD Garden
2018-04-08 21:00:00,Golden State Warriors,Phoenix Suns,Talking Stick Resort Arena
2018-04-09 19:00:00,Toronto Raptors,Detroit Pistons,Little Caesars Arena
2018-04-09 19:30:00,Chicago Bulls,Brooklyn Nets,Barclays Center
2018-04-09 19:30:00,Cleveland Cavaliers,New York Knicks,Madison Square Garden
2018-04-09 19:30:00,Oklahoma City Thunder,Miami Heat,AmericanAirlines Arena
2018-04-09 20:00:00,Orlando Magic,Milwaukee Bucks,BMO Harris Bradley Center
2018-04-09 20:00:00,Memphis Grizzlies,Minnesota Timberwolves,Target Center
2018-04-09 20:30:00,Sacramento Kings,San Antonio Spurs,AT&T Center
2018-04-09 21:00:00,Portland Trail Blazers,Denver Nuggets,Pepsi Center
2018-04-09 22:30:00,New Orleans Pelicans,Los Angeles Clippers,Staples Center
2018-04-10 19:00:00,Charlotte Hornets,Indiana Pacers,Bankers Life Fieldhouse
2018-04-10 19:30:00,Philadelphia 76ers,Atlanta Hawks,Philips Arena
2018-04-10 20:00:00,Boston Celtics,Washington Wizards,Capital One Arena
2018-04-10 20:30:00,Phoenix Suns,Dallas Mavericks,American Airlines Center
2018-04-10 21:00:00,Golden State Warriors,Utah Jazz,Vivint Smart Home Arena
2018-04-10 22:30:00,Houston Rockets,Los Angeles Lakers,Staples Center
2018-04-11 20:00:00,Denver Nuggets,Minnesota Timberwolves,Target Center
2018-04-11 20:00:00,San Antonio Spurs,New Orleans Pelicans,Smoothie King Center
2018-04-11 20:00:00,Toronto Raptors,Miami Heat,AmericanAirlines Arena
2018-04-11 20:00:00,Memphis Grizzlies,Oklahoma City Thunder,Chesapeake Energy Arena
2018-04-11 20:00:00,New York Knicks,Cleveland Cavaliers,Quicken Loans Arena
2018-04-11 20:00:00,Detroit Pistons,Chicago Bulls,United Center
2018-04-11 20:00:00,Brooklyn Nets,Boston Celtics,TD Garden
2018-04-11 20:00:00,Milwaukee Bucks,Philadelphia 76ers,Wells Fargo Center
2018-04-11 20:00:00,Washington Wizards,Orlando Magic,Amway Center
2018-04-11 22:30:00,Utah Jazz,Portland Trail Blazers,Moda Center
2018-04-11 22:30:00,Los Angeles Lakers,Los Angeles Clippers,Staples Center
2018-04-11 22:30:00,Houston Rockets,Sacramento Kings,Golden 1 Center
